001,Laskar Pelangi,Fiksi,Andrea Hirata,7
002,Pengantar Diskrit,Ilmiah,Bambang Suryo,7
003,Crypto Currency,Teknologi,Satoshi Nakamoto,5
004,Life in Moscow,Sejarah,Daniil Dubov,7
006,Atomic Habits,Pengembangan Diri,James Clear,6
007,Pemrograman Java Dasar,Teknologi,Abdul Kadir,9
008,Matematika Diskrit untuk Informatika,Pendidikan,Rinaldi Munir,11
009,Bumi Manusia,Sastra,Pramoedya Ananta Toer,4
010,Filosofi Teras,Filsafat,Henry Manampiring,15
0018,Life in indoneisa,Sejarah,JUnday,4
0012,DYlan 1990,Novel,Pidi Baik,2
0019,BIMBING,Non-Fiksi,Aqila Al Jundy,5
0014,Nyi roro kidul,sejarah,Kholid,5
0020,Bawang merah,Fiksi,Ayu,4
